# Observed Phase of the ENSO,,
#state number,state,description
#1,El Nino,warm
#2,ENSO neutral,neutral
#3,La Nina,cool
Water Year,ENSO Phase,
1900,1,
1901,2,
1902,2,
1903,1,
1904,3,
1905,1,
1906,1,
1907,3,
1908,2,
1909,3,
1910,3,
1911,3,
1912,1,
1913,2,
1914,1,
1915,1,
1916,2,
1917,3,
1918,3,
1919,1,
1920,1,
1921,3,
1922,2,
1923,3,
1924,1,
1925,3,
1926,1,
1927,2,
1928,2,
1929,2,
1930,1,
1931,1,
1932,3,
1933,2,
1934,3,
1935,2,
1936,2,
1937,2,
1938,3,
1939,3,
1940,1,
1941,1,
1942,1,
1943,3,
1944,3,
1945,3,
1946,2,
1947,2,
1948,2,
1949,2,
1950,3,
1951,3,
1952,1,
1953,2,
1954,2,
1955,3,
1956,3,
1957,2,
1958,1,
1959,1,
1960,2,
1961,2,
1962,2,
1963,3,
1964,1,
1965,3,
1966,1,
1967,2,
1968,3,
1969,1,
1970,1,
1971,3,
1972,3,
1973,1,
1974,3,
1975,3,
1976,3,
1977,1,
1978,1,
1979,2,
1980,1,
1981,2,
1982,2,
1983,1,
1984,3,
1985,3,
1986,3,
1987,1,
1988,1,
1989,3,
1990,2,
1991,2,
1992,1,
1993,2,
1994,2,
1995,1,
1996,3,
1997,2,
1998,1,
1999,3,
2000,3,
2001,3,
2002,2,
2003,1,
2004,2,
2005,1,
2006,3,
2007,1,
2008,3,
2009,3,
2010,1,
2011,3,
2012,3,
2013,2,
2014,2,
2015,1,
2016,1,
2017,3,
2018,3,
2019,1,
2020,2,
2021,3,
2022,3,
2023,3,
2024,1,